,city,city_id,lat,max_temp,cloudiness,country,date,humidity,long,wind_speed
129,praia da vitoria,3372760,38.73,57.0,75,PT,1607227574,82,-27.07,11.3
130,mahebourg,934322,-20.41,78.8,40,MU,1607227574,74,57.7,6.93
131,alugan,1731248,12.22,83.5,100,PH,1607227575,81,125.48,4.0
132,fortuna,5563839,40.6,51.01,89,US,1607227665,92,-124.16,7.0
133,bandarbeyla,64814,9.49,75.9,66,SO,1607227665,74,50.81,6.11
134,churapcha,2025241,62.0,-10.61,99,RU,1607227665,90,132.43,4.68
135,brewster,5110092,41.4,36.0,40,US,1607227666,64,-73.62,5.82
136,qaanaaq,3831208,77.48,-8.34,100,GL,1607227666,70,-69.36,6.08
137,dunedin,2191562,-45.87,55.99,100,NZ,1607227594,76,170.5,15.99
138,belaya gora,2126785,68.53,-29.16,0,RU,1607227666,85,146.42,3.47
139,khorramabad,127349,33.49,43.36,100,IR,1607227666,83,48.36,5.44
140,coihaique,3894426,-45.58,57.2,0,CL,1607227667,71,-72.07,2.24
141,leningradskiy,2123814,69.38,12.04,21,RU,1607227667,88,178.42,6.93
142,kaeo,2189343,-35.1,73.99,63,NZ,1607227667,45,173.78,8.01
143,havre-saint-pierre,5972291,50.23,30.2,75,CA,1607227667,100,-63.6,9.17
144,hospet,1269935,15.27,74.32,91,IN,1607227667,60,76.4,12.12
145,hualmay,3939761,-11.1,66.67,100,PE,1607227668,85,-77.61,8.12
146,henties bay,3356832,-22.12,59.0,98,NA,1607227668,90,14.28,4.25
147,atuona,4020109,-9.8,78.91,1,PF,1607227668,73,-139.03,17.74
148,andros town,3572906,24.7,74.93,1,BS,1607227668,73,-77.77,2.62
149,gamba,2400547,-2.65,75.6,96,GA,1607227668,91,10.0,1.05
150,iqaluit,5983720,63.75,14.0,90,CA,1607227669,78,-68.51,11.41
151,krasnopillya,704343,50.77,21.72,0,UA,1607227669,79,35.26,12.53
152,berlevag,780687,70.86,35.06,46,NO,1607227669,84,29.09,38.03
153,yamada,2110560,39.47,49.53,59,JP,1607227669,56,141.95,4.56
154,wanning,1791779,18.8,68.05,94,CN,1607227670,82,110.4,11.61
155,hamilton,4513583,39.18,32.0,1,US,1607227165,86,-84.53,2.71
156,salinopolis,3389822,-0.61,79.72,100,BR,1607227670,84,-47.36,10.45
157,baikunthpur,1277769,23.25,72.82,0,IN,1607227670,31,82.55,1.57
158,sebastian,4130449,35.17,46.4,1,US,1607227670,65,-94.27,3.36
159,havoysund,779622,71.0,33.8,99,NO,1607227671,59,24.66,40.26
160,trunovskoye,481181,45.49,19.4,90,RU,1607227671,79,42.14,20.13
161,east london,1006984,-33.02,66.2,90,ZA,1607227671,100,27.91,4.7
162,tuktoyaktuk,6170031,69.45,1.4,20,CA,1607227671,77,-133.04,18.34
163,vilhena,3924679,-12.74,68.79,81,BR,1607227672,98,-60.15,3.78
164,surazh,486148,53.02,23.18,0,RU,1607227672,82,32.39,11.5
165,cherskiy,2126199,68.75,-11.74,34,RU,1607227672,81,161.3,0.89
166,eganville,5947035,45.53,26.6,90,CA,1607227673,79,-77.1,9.17
167,isangel,2136825,-19.55,80.6,75,VU,1607227673,83,169.27,5.82
168,pangnirtung,6096551,66.15,14.99,100,CA,1607227673,91,-65.71,2.89
169,kavieng,2094342,-2.57,85.37,0,PG,1607227673,64,150.8,10.25
170,port elizabeth,964420,-33.92,66.2,75,ZA,1607227674,93,25.57,11.41
171,barrhead,2656258,55.8,30.2,20,GB,1607227674,92,-4.39,1.12
172,yellowknife,6185377,62.46,19.99,75,CA,1607227674,92,-114.35,5.82
173,bolshoye nagatkino,480884,54.52,-5.8,90,RU,1607227675,83,47.97,2.24
174,poum,2138555,-20.23,78.75,8,NC,1607227675,72,164.02,3.4
175,sambava,1056899,-14.27,78.85,17,MG,1607227675,71,50.17,9.62
176,kamenka,553766,51.32,13.57,0,RU,1607227675,93,42.77,9.64
177,hasaki,2112802,35.73,57.0,75,JP,1607227676,66,140.83,10.29
178,zaozerne,687726,45.16,38.43,2,UA,1607227766,81,33.28,24.9
179,jodhpur,1268865,26.29,75.43,0,IN,1607227766,26,73.03,7.07
180,castro,3466704,-24.79,58.68,100,BR,1607227766,95,-50.01,13.35
181,cowra,2170139,-33.83,64.99,0,AU,1607227766,60,148.68,5.01
182,pescara,3171163,42.33,57.2,99,IT,1607227767,71,13.95,4.7
183,qaqortoq,3420846,60.72,30.2,99,GL,1607227526,74,-46.03,1.12
184,sisimiut,3419842,66.94,28.56,94,GL,1607227767,91,-53.67,11.63
185,geraldton,2070998,-28.77,80.6,0,AU,1607227767,42,114.6,20.8
186,nanortalik,3421765,60.14,30.56,96,GL,1607227768,93,-45.24,3.06
187,yar-sale,1486321,66.83,10.78,90,RU,1607227768,94,70.83,10.07
188,nikolskoye,546105,59.7,35.6,90,RU,1607227768,90,30.79,6.71
189,marsa matruh,352733,31.35,61.2,0,EG,1607227628,50,27.25,10.09
190,ostrovnoy,556268,68.05,36.14,67,RU,1607227768,84,39.51,22.93
191,jinchang,1805733,38.5,22.91,100,CN,1607227769,88,102.17,2.86
192,papara,3395473,-3.98,80.6,40,BR,1607227769,78,-38.73,12.75
193,salalah,286621,17.02,69.8,0,OM,1607227769,60,54.09,3.36
194,guerrero negro,4021858,27.98,58.95,73,MX,1607227769,58,-114.06,2.53
195,tiznit,2527087,29.58,48.33,0,MA,1607227769,73,-9.5,2.21
196,chuy,3443061,-33.7,53.53,32,UY,1607227770,71,-53.46,2.64
197,shaki,585031,41.08,42.8,90,AZ,1607227770,93,47.17,5.82
198,port moresby,2088122,-9.44,89.6,40,PG,1607227770,66,147.18,17.22
199,dauriya,2025099,49.93,5.23,1,RU,1607227771,91,116.87,10.16
200,jardim,3460087,-21.48,68.52,98,BR,1607227771,94,-56.14,5.03
201,antequera,2521710,37.02,48.99,20,ES,1607227771,70,-4.56,8.05
202,tasiilaq,3424607,65.61,24.8,100,GL,1607227771,73,-37.64,6.93
203,boa vista,3664980,2.82,80.6,0,BR,1607227514,69,-60.67,4.7
204,marsabit,187585,2.33,64.67,0,KE,1607227772,89,37.99,13.76
205,ust-kan,1488190,50.93,7.84,26,RU,1607227772,81,84.76,2.8
206,baoshan,2038438,46.56,22.69,93,CN,1607227772,87,131.42,8.52
207,san policarpo,1688696,12.18,83.68,100,PH,1607227772,80,125.51,4.14
208,riyadh,108410,24.69,68.0,40,SA,1607227696,34,46.72,14.99
209,ponta do sol,2264557,32.67,59.0,40,PT,1607227773,72,-17.1,9.17
210,jinan,1805753,36.67,46.99,0,CN,1607227602,50,117.0,1.01
211,vila velha,3445026,-20.33,78.8,90,BR,1607227766,83,-40.29,5.82
212,simbahan,1695180,6.3,83.64,97,PH,1607227773,68,120.58,0.38
213,anshun,1817968,26.25,44.74,100,CN,1607227774,79,105.93,3.02
214,lorengau,2092164,-2.02,86.77,47,PG,1607227774,66,147.27,9.42
215,mar del plata,3430863,-38.0,54.0,0,AR,1607227565,87,-57.56,4.7
216,vallenar,3868633,-28.57,59.41,0,CL,1607227644,59,-70.76,1.83
217,abha,110690,18.22,51.8,75,SA,1607227679,93,42.51,2.1
218,nosy varika,1058080,-20.58,72.37,99,MG,1607227775,92,48.53,8.86
219,san patricio,4726521,28.02,48.99,90,US,1607227775,93,-97.52,11.41
220,codrington,2171099,-38.27,59.74,91,AU,1607227775,66,141.97,24.47
221,booue,2401495,-0.09,70.07,99,GA,1607227776,95,11.94,1.74
222,lazaro cardenas,4026082,17.96,75.27,14,MX,1607227776,78,-102.2,4.07
223,kawalu,1640902,-7.38,88.59,54,ID,1607227776,51,108.21,3.78
224,svetlogorsk,10722858,52.63,24.82,2,BY,1607227776,90,29.73,12.33
225,zheleznodorozhnyy,463355,55.75,14.0,0,RU,1607227867,84,38.0,6.71
226,lyudinovo,532459,53.87,18.34,0,RU,1607227867,89,34.45,6.82
227,khatanga,2022572,71.97,-2.49,100,RU,1607227867,91,102.5,16.75
228,batagay-alyta,2027042,67.8,-27.33,42,RU,1607227867,82,130.41,2.48
229,cabo san lucas,3985710,22.89,64.4,5,MX,1607227690,48,-109.91,9.17
230,ilulissat,3423146,69.22,28.4,100,GL,1607227868,86,-51.1,4.7
231,aswan,359792,24.09,56.19,0,EG,1607227868,39,32.91,5.93
232,san andres,3670218,12.58,80.6,40,CO,1607227702,83,-81.7,6.93
233,tacoronte,2510725,28.48,59.0,90,ES,1607227868,87,-16.41,17.22
234,catamarca,3837702,-28.47,50.0,8,AR,1607227868,87,-65.79,1.01
235,kangavar,128831,34.5,42.64,100,IR,1607227869,84,47.97,3.53
236,black river,3491355,18.03,78.8,20,JM,1607227869,83,-77.85,6.93
237,port hardy,6111862,50.7,50.0,90,CA,1607227800,66,-127.42,20.8
238,pulau sebang,1749659,2.46,86.0,20,MY,1607227869,66,102.23,9.17
239,ulaangom,1515029,49.98,4.48,94,MN,1607227870,91,92.07,4.94
240,juneau,5554072,58.3,46.4,90,US,1607227742,87,-134.42,21.92
241,lebu,3883457,-37.62,52.32,94,CL,1607227870,92,-73.65,12.57
242,diffa,2445704,13.32,70.59,22,NE,1607227870,27,12.61,6.98
243,beringovskiy,2126710,63.05,22.28,94,RU,1607227870,94,179.32,1.88
244,sitka,5557293,57.05,48.2,90,US,1607227871,81,-135.33,13.87
245,trairi,3386177,-3.28,80.35,100,BR,1607227871,76,-39.27,11.72
246,soubre,2598243,5.79,71.06,71,CI,1607227871,98,-6.61,2.66
247,rubtsovsk,1493467,51.5,-1.14,20,RU,1607227871,89,81.25,1.9
248,brae,2654970,60.4,42.8,92,GB,1607227871,87,-1.35,12.75
249,ugoofaaru,1337619,5.67,80.78,99,MV,1607227872,82,73.0,18.59
250,kirillov,548478,59.86,21.2,0,RU,1607227872,85,38.38,8.95
251,miraflores,3761194,19.22,62.6,40,MX,1607227872,48,-98.81,2.24
252,esperance,2071860,-33.87,64.4,90,AU,1607227872,63,121.9,12.75
253,namatanai,2090021,-3.67,85.59,3,PG,1607227872,60,152.43,8.21
254,dahuk,96994,36.87,44.94,40,IQ,1607227582,55,42.99,4.34
255,port augusta,2063056,-32.5,73.4,75,AU,1607227873,31,137.77,17.22
256,fairbanks,5861897,64.84,-2.2,90,US,1607227659,77,-147.72,2.37
257,avera,4231997,33.19,41.0,1,US,1607227874,76,-82.53,4.7
258,kollam,1259091,8.88,87.8,40,IN,1607227874,66,76.6,1.12
259,marsh harbour,3571913,26.54,74.25,28,BS,1607227874,82,-77.06,8.08
260,norman wells,6089245,65.28,10.4,75,CA,1607227874,85,-126.83,2.24
261,pinsk,623549,52.12,35.62,99,BY,1607227874,85,26.1,17.29
262,sogne,3137971,58.08,46.0,89,NO,1607227875,93,7.82,6.93
263,cidreira,3466165,-30.18,65.64,98,BR,1607227875,73,-50.21,11.95
264,kankan,2419992,10.39,69.26,0,GN,1607227875,37,-9.31,2.89
265,bulaevo,1525014,54.91,-0.11,99,KZ,1607227875,93,70.44,5.68
266,nadvoitsy,523662,63.87,36.32,100,RU,1607227876,91,34.32,11.56
267,solok,1626649,-0.79,86.54,96,ID,1607227876,51,100.66,1.14
268,umm kaddadah,364933,13.6,65.82,69,SD,1607227876,24,26.69,11.27
269,soteapan,3516526,18.23,66.29,100,MX,1607227876,96,-94.87,3.09
270,ewa beach,5855051,21.32,82.4,90,US,1607227877,69,-158.01,5.82
271,faanui,4034551,-16.48,79.88,100,PF,1607227877,80,-151.75,18.25
272,point pleasant,5102796,40.08,39.99,1,US,1607227877,60,-74.07,14.99
273,asfi,2537881,32.3,55.99,5,MA,1607227967,67,-9.24,7.9
274,chicama,3698359,-7.84,67.82,96,PE,1607227968,79,-79.15,5.88
275,atar,2381334,20.52,63.99,92,MR,1607227968,53,-13.05,10.56
276,atherton,2656847,53.52,37.0,98,GB,1607227968,86,-2.49,3.6
277,merauke,2082539,-8.47,84.45,82,ID,1607227968,81,140.33,10.07
278,chipata,918702,-13.63,67.64,52,ZM,1607227969,87,32.65,4.52
